                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0782,                0.99852,                 1.3483,                0.80865,                0.75767,                 0.8519,                0.57918,                 1.1465,                0.87175,                 1.4787,              0.0008878,              0.0008878,              0.0008878
                     36,                 1.0881,                 1.0101,                 1.3619,                0.83932,                0.75925,                0.85824,                0.57993,                 1.1201,                0.87501,                 1.4725,              0.0008845,              0.0008845,              0.0008845
                     37,                 1.0978,                 1.0246,                 1.3705,                0.84718,                0.77582,                0.86324,                0.57274,                 1.1444,                0.85683,                 1.4816,              0.0008812,              0.0008812,              0.0008812
                     38,                  1.079,                 1.0061,                 1.3566,                0.82837,                0.72144,                0.82298,                0.55122,                  1.128,                0.91957,                 1.4673,              0.0008779,              0.0008779,              0.0008779
                     39,                 1.0591,                0.96795,                 1.3357,                0.77414,                0.80572,                0.86279,                0.57602,                 1.1308,                0.87024,                 1.4725,              0.0008746,              0.0008746,              0.0008746
                     40,                 1.0668,                0.99571,                 1.3559,                0.81616,                0.73326,                0.84452,                0.57653,                 1.0899,                0.87226,                 1.4418,              0.0008713,              0.0008713,              0.0008713
                     41,                 1.0608,                 0.9602,                 1.3446,                0.78685,                0.80017,                0.85879,                0.58949,                  1.104,                0.83264,                  1.448,               0.000868,               0.000868,               0.000868
                     42,                 1.0735,                0.97442,                 1.3533,                0.79758,                0.78548,                0.86379,                0.57131,                 1.1346,                0.84495,                 1.4744,              0.0008647,              0.0008647,              0.0008647
                     43,                 1.0725,                0.96748,                 1.3376,                0.84816,                0.75396,                0.85387,                0.56216,                 1.1348,                0.86516,                 1.4826,              0.0008614,              0.0008614,              0.0008614
                     44,                 1.0409,                0.94276,                 1.3271,                0.80923,                0.77061,                0.86351,                0.57491,                 1.1407,                0.83544,                 1.4681,              0.0008581,              0.0008581,              0.0008581
                     45,                 1.0425,                0.94945,                 1.3325,                0.79881,                0.79489,                0.86559,                0.57056,                 1.1414,                0.85758,                 1.4759,              0.0008548,              0.0008548,              0.0008548
                     46,                  1.055,                0.93233,                 1.3425,                0.85928,                 0.7685,                0.88007,                0.59328,                 1.1464,                0.81323,                 1.4798,              0.0008515,              0.0008515,              0.0008515
                     47,                 1.0706,                0.95219,                 1.3522,                0.84825,                0.77388,                0.87703,                0.59688,                 1.1156,                0.80951,                 1.4547,              0.0008482,              0.0008482,              0.0008482
                     48,                 1.0584,                0.92542,                 1.3314,                0.85364,                 0.7833,                0.87461,                0.59779,                 1.1128,                0.82173,                 1.4392,              0.0008449,              0.0008449,              0.0008449
                     49,                  1.029,                 0.9091,                  1.311,                0.81049,                0.77818,                0.85807,                0.58194,                 1.1239,                0.83094,                 1.4652,              0.0008416,              0.0008416,              0.0008416
                     50,                 1.0362,                0.92156,                 1.3215,                 0.8494,                 0.7537,                0.85984,                0.58405,                  1.128,                0.85253,                  1.456,              0.0008383,              0.0008383,              0.0008383
                     51,                 1.0387,                0.92346,                 1.3288,                0.81905,                0.78052,                0.86873,                0.58257,                 1.1343,                0.84423,                 1.4672,               0.000835,               0.000835,               0.000835
                     52,                 1.0419,                0.90406,                  1.321,                  0.841,                0.80507,                0.87038,                0.58803,                 1.1424,                0.80697,                 1.4847,              0.0008317,              0.0008317,              0.0008317
                     53,                 1.0373,                 0.8976,                 1.3199,                 0.8277,                0.79271,                 0.8694,                0.58858,                  1.137,                 0.8103,                  1.471,              0.0008284,              0.0008284,              0.0008284
                     54,                 1.0423,                0.90614,                 1.3336,                 0.8374,                0.75838,                0.86102,                0.57545,                  1.118,                 0.8251,                 1.4504,              0.0008251,              0.0008251,              0.0008251
                     55,                 1.0362,                0.88544,                 1.3166,                0.83248,                0.78579,                 0.8588,                0.58061,                 1.1341,                0.85444,                 1.4754,              0.0008218,              0.0008218,              0.0008218
                     56,                 1.0235,                0.87072,                 1.3116,                0.82946,                0.79772,                0.86618,                0.57942,                  1.121,                0.79898,                 1.4683,              0.0008185,              0.0008185,              0.0008185
                     57,                 1.0236,                0.88387,                 1.3151,                0.82413,                0.83394,                0.88253,                0.59629,                  1.122,                0.80239,                 1.4549,              0.0008152,              0.0008152,              0.0008152
                     58,                 1.0373,                0.86209,                 1.3231,                0.87181,                0.77117,                0.88476,                0.60088,                 1.1263,                0.78065,                 1.4673,              0.0008119,              0.0008119,              0.0008119
                     59,                  1.027,                0.85023,                 1.3103,                0.79606,                0.80766,                0.87193,                0.58745,                 1.1229,                0.79686,                 1.4572,              0.0008086,              0.0008086,              0.0008086
                     60,                 1.0317,                0.88869,                 1.3196,                0.81406,                0.76394,                0.84926,                0.58079,                 1.1099,                0.83513,                 1.4463,              0.0008053,              0.0008053,              0.0008053
                     61,                 1.0051,                0.83976,                 1.3027,                0.79862,                0.80876,                0.88019,                0.59978,                 1.1168,                0.78494,                 1.4681,               0.000802,               0.000802,               0.000802
                     62,                 1.0252,                0.86381,                 1.3082,                0.84244,                0.77698,                0.86691,                0.59647,                 1.0959,                0.79834,                 1.4454,              0.0007987,              0.0007987,              0.0007987
                     63,                 1.0001,                0.82876,                 1.2908,                0.82506,                0.82613,                0.88264,                0.59825,                 1.1211,                0.77835,                 1.4671,              0.0007954,              0.0007954,              0.0007954
                     64,                 1.0039,                 0.8425,                 1.2935,                0.81464,                0.81799,                0.87663,                0.59307,                 1.1322,                0.79787,                 1.4721,              0.0007921,              0.0007921,              0.0007921
                     65,                0.99326,                0.81367,                 1.2891,                 0.8685,                0.76565,                0.87638,                0.59663,                 1.1148,                0.76301,                 1.4561,              0.0007888,              0.0007888,              0.0007888
                     66,                 1.0111,                0.82917,                  1.304,                0.82832,                0.79503,                0.87426,                0.58576,                 1.1326,                0.81541,                 1.4633,              0.0007855,              0.0007855,              0.0007855
                     67,                 0.9896,                0.80763,                 1.2898,                0.83112,                 0.7921,                0.87574,                0.58696,                 1.1344,                 0.7927,                 1.4532,              0.0007822,              0.0007822,              0.0007822
                     68,                0.99554,                0.81344,                 1.2847,                0.81985,                0.81541,                 0.8732,                0.59273,                 1.1249,                0.78937,                 1.4682,              0.0007789,              0.0007789,              0.0007789
