                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                0.85951,                0.60854,                 1.1943,                0.84488,                0.83238,                0.89655,                0.62868,                 1.1071,                0.71128,                 1.4681,               0.000505,               0.000505,               0.000505
                    152,                0.84514,                0.59118,                 1.1856,                0.86265,                0.84298,                0.90042,                0.62098,                 1.1113,                0.71378,                 1.4798,              0.0005017,              0.0005017,              0.0005017
                    153,                 0.8444,                0.60526,                 1.1888,                0.87661,                0.82775,                0.89511,                0.62817,                 1.0884,                0.69439,                 1.4498,              0.0004984,              0.0004984,              0.0004984
                    154,                0.81393,                0.59506,                 1.1741,                0.84803,                0.85578,                0.89542,                0.63063,                 1.0928,                0.69352,                 1.4637,              0.0004951,              0.0004951,              0.0004951
                    155,                0.82316,                0.58975,                 1.1777,                0.85183,                0.84121,                0.89912,                0.62824,                 1.0931,                0.70317,                 1.4548,              0.0004918,              0.0004918,              0.0004918
                    156,                0.82301,                0.58916,                 1.1711,                0.83576,                0.86099,                0.89908,                0.62788,                 1.1008,                0.70957,                 1.4637,              0.0004885,              0.0004885,              0.0004885
                    157,                0.81873,                0.57707,                 1.1715,                0.89238,                0.81257,                0.90173,                0.62945,                 1.0875,                 0.7101,                  1.454,              0.0004852,              0.0004852,              0.0004852
                    158,                0.82521,                0.58735,                 1.1773,                0.86197,                0.83084,                0.90888,                0.63087,                 1.0823,                0.68302,                  1.447,              0.0004819,              0.0004819,              0.0004819
                    159,                0.83301,                0.59549,                 1.1843,                0.86645,                0.82979,                 0.8906,                0.62366,                  1.088,                0.69392,                 1.4526,              0.0004786,              0.0004786,              0.0004786
                    160,                0.83018,                0.59009,                 1.1813,                0.87127,                  0.846,                0.89833,                0.62317,                 1.1003,                0.66906,                 1.4508,              0.0004753,              0.0004753,              0.0004753
                    161,                0.82189,                0.57384,                  1.178,                0.88183,                0.82575,                0.90023,                0.62547,                 1.1025,                0.66362,                 1.4623,               0.000472,               0.000472,               0.000472
                    162,                0.81392,                0.57763,                 1.1757,                  0.879,                0.80974,                0.88772,                0.62303,                 1.1025,                0.69364,                 1.4718,              0.0004687,              0.0004687,              0.0004687
                    163,                0.82743,                  0.579,                 1.1794,                0.89587,                0.81995,                0.89575,                0.62258,                 1.1004,                 0.6893,                 1.4686,              0.0004654,              0.0004654,              0.0004654
                    164,                0.82271,                0.59095,                 1.1745,                 0.8864,                0.81276,                0.90258,                0.63512,                 1.1034,                0.68617,                 1.4733,              0.0004621,              0.0004621,              0.0004621
                    165,                0.80643,                0.57983,                 1.1618,                0.87576,                0.82125,                0.90046,                0.63173,                 1.1033,                0.69872,                 1.4751,              0.0004588,              0.0004588,              0.0004588
                    166,                0.81724,                0.57709,                 1.1709,                0.88887,                0.81457,                0.88389,                0.62195,                  1.111,                0.70548,                 1.4864,              0.0004555,              0.0004555,              0.0004555
                    167,                0.81383,                 0.5897,                 1.1702,                0.86646,                0.84561,                0.89865,                0.62555,                 1.1141,                0.68411,                 1.4806,              0.0004522,              0.0004522,              0.0004522
                    168,                0.81434,                0.57583,                 1.1659,                 0.8755,                0.81935,                0.89471,                0.62343,                 1.1155,                0.68645,                 1.4785,              0.0004489,              0.0004489,              0.0004489
                    169,                0.79694,                0.56269,                 1.1644,                0.88615,                0.82095,                0.89674,                0.62818,                 1.1131,                0.68022,                  1.485,              0.0004456,              0.0004456,              0.0004456
                    170,                0.82092,                0.58041,                 1.1763,                0.88886,                0.83568,                0.90214,                0.63003,                  1.112,                0.68024,                 1.4794,              0.0004423,              0.0004423,              0.0004423
                    171,                0.81198,                0.56495,                 1.1694,                0.89855,                 0.8036,                0.90104,                0.63411,                 1.1035,                0.66851,                 1.4704,               0.000439,               0.000439,               0.000439
                    172,                0.79632,                0.57085,                 1.1623,                0.88177,                 0.8282,                 0.9017,                0.63033,                 1.1156,                 0.6785,                 1.4817,              0.0004357,              0.0004357,              0.0004357
                    173,                0.80415,                 0.5715,                 1.1653,                0.90354,                0.80389,                  0.896,                0.62321,                 1.1116,                0.68413,                 1.4811,              0.0004324,              0.0004324,              0.0004324
                    174,                0.80272,                0.57575,                  1.165,                0.86122,                0.83633,                0.89556,                 0.6242,                 1.1212,                0.68338,                 1.4934,              0.0004291,              0.0004291,              0.0004291
                    175,                0.80237,                0.56838,                 1.1622,                 0.8782,                0.82683,                0.89858,                0.62747,                 1.1187,                0.68058,                 1.4946,              0.0004258,              0.0004258,              0.0004258
                    176,                0.80277,                0.56612,                 1.1682,                0.86399,                0.83658,                0.89993,                0.63575,                 1.0985,                0.69621,                 1.4682,              0.0004225,              0.0004225,              0.0004225
                    177,                0.80099,                0.55443,                 1.1529,                 0.8742,                0.81654,                0.90207,                0.63281,                 1.1106,                0.69188,                 1.4866,              0.0004192,              0.0004192,              0.0004192
                    178,                0.79125,                0.54758,                 1.1568,                0.89167,                0.81425,                0.90233,                0.63502,                 1.1108,                0.66407,                 1.4825,              0.0004159,              0.0004159,              0.0004159
                    179,                0.79736,                0.54965,                 1.1583,                0.89421,                0.82539,                0.90608,                0.64236,                 1.0958,                 0.6585,                 1.4678,              0.0004126,              0.0004126,              0.0004126
                    180,                0.80163,                 0.5517,                 1.1573,                0.92318,                0.79493,                0.90283,                0.64012,                 1.0991,                0.67934,                 1.4686,              0.0004093,              0.0004093,              0.0004093
                    181,                 0.7923,                0.56743,                 1.1594,                0.91046,                 0.7949,                0.90308,                0.63563,                 1.0872,                0.67791,                 1.4596,               0.000406,               0.000406,               0.000406
                    182,                 0.7947,                0.55271,                 1.1667,                0.89424,                 0.8142,                0.89984,                0.63199,                 1.0958,                0.68666,                 1.4771,              0.0004027,              0.0004027,              0.0004027
                    183,                 0.7826,                0.55722,                 1.1455,                0.89184,                0.81787,                0.90085,                0.62417,                 1.1022,                0.70315,                  1.468,              0.0003994,              0.0003994,              0.0003994
                    184,                0.78585,                0.54018,                 1.1559,                0.90464,                0.80964,                0.90183,                0.63174,                 1.0988,                0.69509,                 1.4668,              0.0003961,              0.0003961,              0.0003961
                    185,                0.78675,                0.53919,                 1.1475,                0.89686,                0.82081,                0.90194,                0.63593,                 1.1022,                0.69673,                 1.4737,              0.0003928,              0.0003928,              0.0003928
                    186,                 0.7841,                0.53848,                  1.148,                0.89969,                0.81307,                0.89884,                0.63738,                  1.101,                 0.6912,                 1.4778,              0.0003895,              0.0003895,              0.0003895
                    187,                 0.7748,                0.54476,                 1.1518,                0.87089,                0.82707,                0.89143,                0.63027,                 1.1111,                0.68673,                 1.4969,              0.0003862,              0.0003862,              0.0003862
                    188,                0.77637,                0.53834,                 1.1493,                0.84198,                0.84596,                 0.8929,                0.63317,                 1.1123,                0.68163,                 1.4909,              0.0003829,              0.0003829,              0.0003829
                    189,                0.78278,                0.53681,                 1.1514,                0.89185,                0.79338,                0.88931,                0.62295,                 1.1154,                 0.6935,                 1.4936,              0.0003796,              0.0003796,              0.0003796
                    190,                0.78176,                0.53662,                 1.1511,                0.87514,                0.81836,                0.89059,                0.62199,                 1.0996,                0.68953,                 1.4669,              0.0003763,              0.0003763,              0.0003763
                    191,                0.77728,                0.53117,                  1.137,                0.88321,                0.82842,                0.89668,                0.62832,                 1.1082,                0.67646,                  1.475,               0.000373,               0.000373,               0.000373
                    192,                0.77115,                0.53378,                  1.144,                0.86861,                0.83746,                 0.8975,                0.62605,                 1.1067,                0.67813,                 1.4846,              0.0003697,              0.0003697,              0.0003697
                    193,                0.77014,                0.54501,                 1.1444,                0.85986,                0.85043,                0.89745,                0.62615,                 1.1062,                0.68298,                   1.49,              0.0003664,              0.0003664,              0.0003664
                    194,                0.76093,                 0.5377,                 1.1406,                0.85689,                0.85364,                  0.903,                0.63126,                 1.1098,                0.68024,                 1.4805,              0.0003631,              0.0003631,              0.0003631
                    195,                0.77887,                0.54023,                 1.1519,                 0.8877,                0.81166,                0.89881,                0.62789,                 1.1122,                0.68002,                 1.4945,              0.0003598,              0.0003598,              0.0003598
                    196,                0.75794,                0.52655,                 1.1378,                0.87346,                0.82798,                0.89891,                0.63074,                  1.101,                0.68245,                  1.487,              0.0003565,              0.0003565,              0.0003565
                    197,                0.75279,                0.53089,                 1.1318,                0.89703,                0.81836,                0.89708,                0.62258,                 1.1067,                0.67009,                 1.4981,              0.0003532,              0.0003532,              0.0003532
                    198,                0.76945,                0.52526,                 1.1459,                0.91803,                0.81417,                0.90554,                0.63132,                 1.1008,                0.67311,                 1.4869,              0.0003499,              0.0003499,              0.0003499
                    199,                0.76163,                0.52655,                 1.1376,                0.88316,                0.83786,                0.90376,                0.63661,                 1.1136,                0.65826,                  1.488,              0.0003466,              0.0003466,              0.0003466
                    200,                0.76836,                0.52948,                 1.1423,                0.91032,                0.81512,                0.90005,                0.63215,                 1.1178,                0.65914,                  1.495,              0.0003433,              0.0003433,              0.0003433
                    201,                0.74664,                0.50534,                 1.1297,                0.89361,                0.82505,                0.90322,                0.63784,                 1.1086,                0.64871,                 1.4849,                0.00034,                0.00034,                0.00034
                    202,                0.76214,                0.52508,                 1.1311,                0.89816,                0.82244,                0.90212,                0.63259,                 1.1119,                0.65512,                 1.4919,              0.0003367,              0.0003367,              0.0003367
                    203,                 0.7554,                0.52372,                  1.133,                0.90249,                0.82059,                0.90089,                0.63175,                 1.1099,                0.66531,                 1.4942,              0.0003334,              0.0003334,              0.0003334
                    204,                0.75532,                0.51516,                  1.131,                0.91289,                0.81515,                0.90597,                0.62946,                 1.1089,                0.66444,                 1.4922,              0.0003301,              0.0003301,              0.0003301
                    205,                0.75576,                0.52683,                  1.135,                0.90137,                0.81423,                0.90376,                0.62602,                 1.1156,                0.67375,                  1.499,              0.0003268,              0.0003268,              0.0003268
                    206,                0.74459,                0.52052,                 1.1295,                0.89582,                0.81573,                0.90025,                0.62407,                 1.1235,                0.68146,                 1.5129,              0.0003235,              0.0003235,              0.0003235
                    207,                0.75689,                0.51349,                 1.1298,                0.90003,                0.81078,                 0.8997,                0.62245,                 1.1291,                0.69755,                 1.5095,              0.0003202,              0.0003202,              0.0003202
                    208,                0.76207,                0.52139,                 1.1395,                0.89035,                0.82467,                0.89629,                0.62413,                 1.1213,                0.69096,                 1.5011,              0.0003169,              0.0003169,              0.0003169
                    209,                0.73634,                0.51361,                 1.1251,                0.90201,                0.81668,                0.89786,                0.62139,                  1.119,                0.67908,                 1.5069,              0.0003136,              0.0003136,              0.0003136
                    210,                0.76043,                0.51896,                 1.1404,                0.87795,                0.84261,                0.90021,                0.62112,                 1.1223,                0.67094,                  1.509,              0.0003103,              0.0003103,              0.0003103
                    211,                0.74579,                0.52262,                 1.1295,                0.89492,                0.82325,                0.90288,                0.62117,                 1.1164,                0.67504,                 1.5008,               0.000307,               0.000307,               0.000307
                    212,                0.73545,                0.50671,                 1.1236,                0.89071,                0.82933,                0.90179,                0.62231,                 1.1215,                0.67539,                 1.5001,              0.0003037,              0.0003037,              0.0003037
                    213,                0.73662,                0.50528,                 1.1148,                0.87665,                0.82142,                0.88692,                0.61639,                 1.1223,                0.68038,                  1.499,              0.0003004,              0.0003004,              0.0003004
                    214,                0.74061,                 0.5006,                 1.1235,                0.90086,                0.81408,                0.89492,                0.62208,                   1.13,                0.68456,                 1.5143,              0.0002971,              0.0002971,              0.0002971
                    215,                0.74694,                0.51042,                 1.1356,                0.90669,                0.81552,                0.89839,                0.62236,                 1.1293,                0.68069,                 1.5151,              0.0002938,              0.0002938,              0.0002938
                    216,                0.74389,                0.50447,                 1.1243,                0.88312,                0.82842,                0.89613,                0.62763,                 1.1257,                0.67882,                 1.5098,              0.0002905,              0.0002905,              0.0002905
                    217,                0.72317,                0.49431,                 1.1093,                0.88704,                0.82666,                0.89848,                0.62532,                 1.1198,                0.68506,                 1.5037,              0.0002872,              0.0002872,              0.0002872
                    218,                0.73636,                0.51116,                 1.1219,                 0.8994,                0.81634,                0.90022,                 0.6255,                 1.1133,                0.67686,                 1.5014,              0.0002839,              0.0002839,              0.0002839
                    219,                0.73248,                0.50735,                 1.1259,                0.90859,                0.81978,                0.90109,                0.62421,                 1.1187,                0.67631,                 1.5063,              0.0002806,              0.0002806,              0.0002806
                    220,                0.72698,                0.49944,                 1.1166,                0.89858,                0.80813,                0.89946,                0.62893,                  1.121,                 0.6723,                 1.5093,              0.0002773,              0.0002773,              0.0002773
                    221,                0.73496,                0.50089,                 1.1206,                0.89453,                0.81297,                0.89811,                0.63043,                 1.1234,                0.66936,                 1.5157,               0.000274,               0.000274,               0.000274
                    222,                0.73154,                0.50122,                  1.119,                0.89471,                0.79754,                0.89781,                0.63392,                 1.1137,                0.66047,                  1.503,              0.0002707,              0.0002707,              0.0002707
                    223,                0.72826,                0.49502,                 1.1212,                0.86122,                 0.8248,                0.89623,                0.63098,                 1.1134,                0.67379,                 1.5035,              0.0002674,              0.0002674,              0.0002674
                    224,                0.72518,                0.50043,                 1.1175,                0.88129,                0.80714,                0.89324,                0.62859,                 1.1203,                0.68035,                 1.5098,              0.0002641,              0.0002641,              0.0002641
                    225,                0.72889,                0.50287,                 1.1279,                0.85471,                0.85813,                0.90161,                0.63088,                 1.1222,                0.67139,                 1.5183,              0.0002608,              0.0002608,              0.0002608
                    226,                0.72407,                0.49499,                 1.1181,                0.83976,                0.86839,                0.89948,                0.62647,                 1.1274,                0.66869,                 1.5212,              0.0002575,              0.0002575,              0.0002575
                    227,                0.71664,                0.49252,                  1.113,                0.82868,                0.86967,                0.89475,                0.62494,                 1.1263,                  0.672,                  1.516,              0.0002542,              0.0002542,              0.0002542
                    228,                0.72016,                0.49077,                 1.1141,                0.84775,                0.85535,                0.89534,                0.62414,                 1.1273,                0.67934,                 1.5141,              0.0002509,              0.0002509,              0.0002509
                    229,                 0.7043,                0.48452,                 1.1057,                0.87634,                0.82972,                0.89619,                0.62499,                 1.1209,                0.68368,                 1.5039,              0.0002476,              0.0002476,              0.0002476
